Designator,Mid X,Mid Y,Rotation,Layer
C1,60.12,-109.64,270.0,bottom
C10,130.273544,-164.682925,168.75,bottom
C11,141.018733,-161.164205,157.5,bottom
C12,150.870987,-155.616814,146.25,bottom
C13,159.451691,-148.253934,135.0,bottom
C14,166.431093,-139.358517,123.75,bottom
C15,171.540977,-129.27241,112.5,bottom
C16,174.584974,-118.383216,101.25,bottom
C17,175.446106,-107.1094,90.0,bottom
C18,174.091278,-95.884209,78.75,bottom
C19,170.572558,-85.13902,67.5,bottom
C2,61.474828,-120.865191,258.75,bottom
C20,165.025167,-75.286766,56.25,bottom
C21,157.662287,-66.706062,45.0,bottom
C22,148.76687,-59.72666,33.75,bottom
C23,138.680763,-54.616776,22.5,bottom
C24,127.791569,-51.572779,11.25,bottom
C25,116.517753,-50.711647,0.0,bottom
C26,105.292562,-52.066475,348.75,bottom
C27,94.547373,-55.585195,337.5,bottom
C28,84.695119,-61.132586,326.25,bottom
C29,76.114415,-68.495466,315.0,bottom
C3,64.993548,-131.61038,247.5,bottom
C30,69.135013,-77.390883,303.75,bottom
C31,64.025129,-87.47699,292.5,bottom
C32,60.981132,-98.366184,281.25,bottom
C4,70.540939,-141.462634,236.25,bottom
C5,77.903819,-150.043338,225.0,bottom
C6,86.799236,-157.02274,213.75,bottom
C7,96.885343,-162.132624,202.5,bottom
C8,107.774537,-165.176621,191.25,bottom
C9,119.048353,-166.037753,180.0,bottom
J3,101.75,-40.52,270.0,bottom
L1,64.16,-105.89,0.0,bottom
L10,125.807435,-161.452142,258.75,bottom
L11,136.008144,-158.866794,247.5,bottom
L12,145.508473,-154.341065,236.25,bottom
L13,153.943329,-148.048873,225.0,bottom
L14,160.988567,-140.232025,213.75,bottom
L15,166.37344,-131.190918,202.5,bottom
L16,169.891013,-121.272996,191.25,bottom
L17,171.406106,-110.8594,180.0,bottom
L18,170.860495,-100.350318,168.75,bottom
L19,168.275147,-90.149609,157.5,bottom
L2,64.705611,-116.399082,348.75,bottom
L20,163.749418,-80.64928,146.25,bottom
L21,157.457226,-72.214424,135.0,bottom
L22,149.640378,-65.169186,123.75,bottom
L23,140.599271,-59.784313,112.5,bottom
L24,130.681349,-56.26674,101.25,bottom
L25,120.267753,-54.751647,90.0,bottom
L26,109.758671,-55.297258,78.75,bottom
L27,99.557962,-57.882606,67.5,bottom
L28,90.057633,-62.408335,56.25,bottom
L29,81.622777,-68.700527,45.0,bottom
L3,67.290959,-126.599791,337.5,bottom
L30,74.577539,-76.517375,33.75,bottom
L31,69.192666,-85.558482,22.5,bottom
L32,65.675093,-95.476404,11.25,bottom
L4,71.816688,-136.10012,326.25,bottom
L5,78.10888,-144.534976,315.0,bottom
L6,85.925728,-151.580214,303.75,bottom
L7,94.966835,-156.965087,292.5,bottom
L8,104.884757,-160.48266,281.25,bottom
L9,115.298353,-161.997753,270.0,bottom
LED1,63.24,-108.63,0.0,bottom
LED10,128.67427,-161.819917,258.75,bottom
LED11,138.891642,-158.668211,247.5,bottom
LED12,148.297824,-153.583754,236.25,bottom
LED13,156.53134,-146.761938,225.0,bottom
LED14,163.275782,-138.464923,213.75,bottom
LED15,168.271962,-129.011557,202.5,bottom
LED16,171.327883,-118.765128,191.25,bottom
LED17,172.326106,-108.1194,180.0,bottom
LED18,171.22827,-97.483483,168.75,bottom
LED19,168.076564,-87.266111,157.5,bottom
LED2,64.337836,-119.265917,348.75,bottom
LED20,162.992107,-77.859929,146.25,bottom
LED21,156.170291,-69.626413,135.0,bottom
LED22,147.873276,-62.881971,123.75,bottom
LED23,138.41991,-57.885791,112.5,bottom
LED24,128.173481,-54.82987,101.25,bottom
LED25,117.527753,-53.831647,90.0,bottom
LED26,106.891836,-54.929483,78.75,bottom
LED27,96.674464,-58.081189,67.5,bottom
LED28,87.268282,-63.165646,56.25,bottom
LED29,79.034766,-69.987462,45.0,bottom
LED3,67.489542,-129.483289,337.5,bottom
LED30,72.290324,-78.284477,33.75,bottom
LED31,67.294144,-87.737843,22.5,bottom
LED32,64.238223,-97.984272,11.25,bottom
LED4,72.573999,-138.889471,326.25,bottom
LED5,79.395815,-147.122987,315.0,bottom
LED6,87.69283,-153.867429,303.75,bottom
LED7,97.146196,-158.863609,292.5,bottom
LED8,107.392625,-161.91953,281.25,bottom
LED9,118.038353,-162.917753,270.0,bottom
LED_1,63.735732,-100.33,191.25,bottom
LED_10,120.508353,-163.180253,90.0,bottom
LED_11,131.14802,-161.5955,78.75,bottom
LED_12,141.274079,-157.965501,67.5,bottom
LED_13,150.497391,-152.429757,56.25,bottom
LED_14,158.463509,-145.201,45.0,bottom
LED_15,164.866301,-136.55703,33.75,bottom
LED_16,169.459709,-126.830028,22.5,bottom
LED_17,172.067212,-116.393799,11.25,bottom
LED_18,172.588606,-105.6494,0.0,bottom
LED_19,171.003853,-95.009733,348.75,bottom
LED_2,62.9775,-111.1,180.0,bottom
LED_20,167.373854,-84.883674,337.5,bottom
LED_21,161.83811,-75.660362,326.25,bottom
LED_22,154.609353,-67.694244,315.0,bottom
LED_23,145.965383,-61.291452,303.75,bottom
LED_24,136.238381,-56.698044,292.5,bottom
LED_25,125.802152,-54.090541,281.25,bottom
LED_26,115.057753,-53.569147,270.0,bottom
LED_27,104.418086,-55.1539,258.75,bottom
LED_28,94.292027,-58.783899,247.5,bottom
LED_29,85.068715,-64.319643,236.25,bottom
LED_3,64.562253,-121.739667,168.75,bottom
LED_30,77.102597,-71.5484,225.0,bottom
LED_31,70.699805,-80.19237,213.75,bottom
LED_32,66.106397,-89.919372,202.5,bottom
LED_4,68.192252,-131.865726,157.5,bottom
LED_5,73.727996,-141.089038,146.25,bottom
LED_6,80.956753,-149.055156,135.0,bottom
LED_7,89.600723,-155.457948,123.75,bottom
LED_8,99.327725,-160.051356,112.5,bottom
LED_9,109.763954,-162.658859,101.25,bottom
R1,60.77,-105.98,180.0,bottom
R10,126.557062,-164.759446,78.75,bottom
R11,137.38859,-161.964304,67.5,bottom
R12,147.466688,-157.109745,56.25,bottom
R13,156.404061,-150.382325,45.0,bottom
R14,163.85725,-142.040576,33.75,bottom
R15,169.539833,-132.405065,22.5,bottom
R16,173.233433,-121.846082,11.25,bottom
R17,174.796106,-110.7694,0.0,bottom
R18,174.167799,-99.600691,348.75,bottom
R19,171.372657,-88.769163,337.5,bottom
R2,61.398307,-117.148709,168.75,bottom
R20,166.518098,-78.691065,326.25,bottom
R21,159.790678,-69.753692,315.0,bottom
R22,151.448929,-62.300503,303.75,bottom
R23,141.813418,-56.61792,292.5,bottom
R24,131.254435,-52.92432,281.25,bottom
R25,120.177753,-51.361647,270.0,bottom
R26,109.009044,-51.989954,258.75,bottom
R27,98.177516,-54.785096,247.5,bottom
R28,88.099418,-59.639655,236.25,bottom
R29,79.162045,-66.367075,225.0,bottom
R3,64.193449,-127.980237,157.5,bottom
R30,71.708856,-74.708824,213.75,bottom
R31,66.026273,-84.344335,202.5,bottom
R32,62.332673,-94.903318,191.25,bottom
R4,69.048008,-138.058335,146.25,bottom
R5,75.775428,-146.995708,135.0,bottom
R6,84.117177,-154.448897,123.75,bottom
R7,93.752688,-160.13148,112.5,bottom
R8,104.311671,-163.82508,101.25,bottom
R9,115.388353,-165.387753,90.0,bottom
SW1,133.81,-26.74,90.0,top
U1,118.259999,-36.790006,0.0,top
U2,119.16,-112.79,270.0,bottom
U3,119.16,-101.92,0.0,bottom
U4,87.55,-36.79,135.0,top
