Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C4, C5, C6, C7, C8, C9",0603,32,1uF,
J1,SolderWirePad_1x01_SMD_1x2mm,1,Conn_01x01_Socket,
J2,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,Conn_01x01_Socket,
J3,PinHeader_1x02_P1.00mm_Horizontal,1,Conn_01x02,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L4, L5, L6, L7, L8, L9",0805,32,10µH,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED4, LED5, LED6, LED7, LED8, LED9",LED_PLCC_2835,32,WHITE 3528,
"LED_1, LED_10, LED_11, LED_12, LED_13, LED_14, LED_15, LED_16, LED_17, LED_18, LED_19, LED_2, LED_20, LED_21, LED_22, LED_23, LED_24, LED_25, LED_26, LED_27, LED_28, LED_29, LED_3, LED_30, LED_31, LED_32, LED_4, LED_5, LED_6, LED_7, LED_8, LED_9",XDCR_ALS-PT19-315C_L177_TR8,32,R_Photo,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R4, R5, R6, R7, R8, R9",0603,32,0R39,
SW1,Nidec_Copal_CAS-120A,1,SW_SPDT,
"TP1, TP2",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,2,TestPoint,
U1,MCU_Seeed_ESP32C3,1,102010428,
"U2, U3",SOP65P780X200-24N,2,CD74HC4067SM,
U4,XT30UPB-M,1,XT30UPB-M,
