null	Sourced	Placed	References	Value	Footprint	Quantity
1			C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32	1uF	C_0603_1608Metric	32
2			C33, C34	C	C_0603_1608Metric	2
3			C35, C38	0u1	CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal	2
4			C36	100u	CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal	1
5			C37	1u	CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal	1
6			C39	220uF	CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal	1
7			R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32	0R39	R_0603_1608Metric	32
8			R33, R34	R	R_0603_1608Metric	2
9			R35	2k94	res0603	1
10			R36	57K	res0603	1
11			R37	1K5	res0603	1
12			L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L30, L31, L32	10µH	L_0805_2012Metric	32
13			L33	68uH	L_APV_APH1040	1
14			D1	SS510	C_0603_1608Metric	1
15			U2, U3	CD74HC4067SM	SOP65P780X200-24N	2
16			U1	LM2587S-ADJ	VREG_LM5017MR_NOPB	1
17			U4	XT30UPB-M	XT30UPB-M	1
18			U5	113991054	XiaoSeeedStudioEsp32	1
19			LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32	WHITE 3528	LED_PLCC_2835	32
20			LED_1, LED_2, LED_3, LED_4, LED_5, LED_6, LED_7, LED_8, LED_9, LED_10, LED_11, LED_12, LED_13, LED_14, LED_15, LED_16, LED_17, LED_18, LED_19, LED_20, LED_21, LED_22, LED_23, LED_24, LED_25, LED_26, LED_27, LED_28, LED_29, LED_30, LED_31, LED_32	R_Photo	XDCR_ALS-PT19-315C_L177_TR8	32
21			TP1, TP2	TestPoint_2Pole	PinHeader_1x02_P2.54mm_Vertical	2
22			J1	Conn_01x05	PinHeader_1x05_P2.54mm_Vertical	1
