Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C4, C5, C6, C7, C8, C9",0603,32,1uF,
"C33, C34",0603,2,.1uF,
C35,0603,1,0.1uF,C3011705
C36,CP_Radial_D8.0mm_P3.50mm,1,100uF,C249586
"C37, C38, C39, C41, C42, C43",CP_Radial_D16.0mm_P7.50mm,6,1000uF,C249586
C40,0603,1,0.68uF,C59782
C44,0603,1,1500pF,C107060
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5401,C179506
D2,TO-220-2_Vertical,1,MBR745,
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J2,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02,
L33,L_APV_APH1040,1,33uH,C2875750
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED4, LED5, LED6, LED7, LED8, LED9",LED_PLCC_2835,32,WHITE 3528,
"LED_1, LED_10, LED_11, LED_12, LED_13, LED_14, LED_15, LED_16, LED_17, LED_18, LED_19, LED_2, LED_20, LED_21, LED_22, LED_23, LED_24, LED_25, LED_26, LED_27, LED_28, LED_29, LED_3, LED_30, LED_31, LED_32, LED_4, LED_5, LED_6, LED_7, LED_8, LED_9",XDCR_ALS-PT19-315C_L177_TR8,32,R_Photo,
Q2,TO-220-3_Vertical,1,STP75NF75,C13678
Q4,SOT95P237X112-3N,1,IRLML6344TRPBF,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R4, R5, R6, R7, R8, R9",0603,32,0R39,
"R33, R34",0603,2,3k24,
R35,0603,1,36.9K/56k,C23082
R36,0603,1,2K/2.94k,C22843
R38,0603,1,3K,C137748
R39,0603,1,10K,C25804
R40,0603,1,470R,C21190
R41,0603,1,1K,C21190
R42,0603,1,20R,C22950
TP1,testpoint_2pad_2-chairs.,1,Led 3v3 & Gnd TP,
U1,VREG_TPS79625KTTR,1,LM2587S-ADJ,
"U2, U3",SOP65P780X200-24N,2,CD74HC4067SM,
U4,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30UPB-M,
U5,XiaoSeeedStudioEsp32,1,113991054,
