Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.5,49.1,270.0,bottom
C10,-47.668832,-12.030898,168.75,bottom
C11,-44.405777,-21.099455,157.5,bottom
C12,-39.436232,-29.357172,146.25,bottom
C13,-32.951176,-36.48671,135.0,bottom
C14,-25.199825,-42.214084,123.75,bottom
C15,-16.480058,-46.319194,112.5,bottom
C16,-7.126972,-48.644283,101.25,bottom
C17,2.5,-49.1,90.0,bottom
C18,12.030898,-47.668832,78.75,bottom
C19,21.099455,-44.405777,67.5,bottom
C2,-12.030898,47.668832,258.75,bottom
C20,29.357172,-39.436232,56.25,bottom
C21,36.48671,-32.951176,45.0,bottom
C22,42.214084,-25.199825,33.75,bottom
C23,46.319194,-16.480058,22.5,bottom
C24,48.644283,-7.126972,11.25,bottom
C25,49.1,2.5,0.0,bottom
C26,47.668832,12.030898,348.75,bottom
C27,44.405777,21.099455,337.5,bottom
C28,39.436232,29.357172,326.25,bottom
C29,32.951176,36.48671,315.0,bottom
C3,-21.099455,44.405777,247.5,bottom
C30,25.199825,42.214084,303.75,bottom
C31,16.480058,46.319194,292.5,bottom
C32,7.126972,48.644283,281.25,bottom
C33,-12.1,-2.68,270.0,bottom
C34,12.1,2.74,90.0,bottom
C35,-24.812,72.128,270.0,top
C36,-30.312,72.628,270.0,top
C37,28.972,73.731246,90.0,top
C38,-4.556,57.044,270.0,top
C39,28.972,56.746754,270.0,top
C4,-29.357172,39.436232,236.25,bottom
C40,-25.562,63.628,180.0,top
C41,-4.556,73.688,90.0,top
C42,12.208,57.000754,270.0,top
C43,12.208,73.731246,90.0,top
C44,5.25,32.25,180.0,top
C5,-36.48671,32.951176,225.0,bottom
C6,-42.214084,25.199825,213.75,bottom
C7,-46.319194,16.480058,202.5,bottom
C8,-48.644283,7.126972,191.25,bottom
C9,-49.1,-2.5,180.0,bottom
D1,0.25,41.0,0.0,top
D2,-18.312001,59.683,0.0,top
J1,71.25,14.0,180.0,top
J2,-20.5,80.75,0.0,top
L33,-18.312,70.378,270.0,top
LED1,0.0,46.801,270.0,bottom
LED10,-45.901732,-9.130422,168.75,bottom
LED11,-43.238486,-17.909967,157.5,bottom
LED12,-38.913609,-26.001242,146.25,bottom
LED13,-33.093305,-33.093305,135.0,bottom
LED14,-26.001243,-38.913609,123.75,bottom
LED15,-17.909967,-43.238486,112.5,bottom
LED16,-9.130422,-45.901732,101.25,bottom
LED17,0.0,-46.801,90.0,bottom
LED18,9.130422,-45.901732,78.75,bottom
LED19,17.909967,-43.238486,67.5,bottom
LED2,-9.130422,45.901732,258.75,bottom
LED20,26.001242,-38.913609,56.25,bottom
LED21,33.093305,-33.093305,45.0,bottom
LED22,38.913609,-26.001243,33.75,bottom
LED23,43.238486,-17.909967,22.5,bottom
LED24,45.901732,-9.130422,11.25,bottom
LED25,46.801,0.0,0.0,bottom
LED26,45.901732,9.130422,348.75,bottom
LED27,43.238486,17.909967,337.5,bottom
LED28,38.913609,26.001242,326.25,bottom
LED29,33.093305,33.093305,315.0,bottom
LED3,-17.909967,43.238486,247.5,bottom
LED30,26.001243,38.913609,303.75,bottom
LED31,17.909967,43.238486,292.5,bottom
LED32,9.130422,45.901732,281.25,bottom
LED4,-26.001242,38.913609,236.25,bottom
LED5,-33.093305,33.093305,225.0,bottom
LED6,-38.913609,26.001243,213.75,bottom
LED7,-43.238486,17.909967,202.5,bottom
LED8,-45.901732,9.130422,191.25,bottom
LED9,-46.801,0.0,180.0,bottom
LED_1,-4.80284,48.764052,264.375,bottom
LED_10,-46.890077,-14.223949,163.125,bottom
LED_11,-43.214142,-23.09844,151.875,bottom
LED_12,-37.877512,-31.085271,140.625,bottom
LED_13,-31.085271,-37.877512,129.375,bottom
LED_14,-23.09844,-43.214142,118.125,bottom
LED_15,-14.223949,-46.890076,106.875,bottom
LED_16,-4.80284,-48.764052,95.625,bottom
LED_17,4.80284,-48.764052,84.375,bottom
LED_18,14.223949,-46.890077,73.125,bottom
LED_19,23.09844,-43.214142,61.875,bottom
LED_2,-14.223949,46.890077,253.125,bottom
LED_20,31.085271,-37.877512,50.625,bottom
LED_21,37.877512,-31.085271,39.375,bottom
LED_22,43.214142,-23.09844,28.125,bottom
LED_23,46.890076,-14.223949,16.875,bottom
LED_24,48.764052,-4.80284,5.625,bottom
