Designator,Footprint,Quantity,Value,LCSC Part #
A1,MODULE_DEV-15583,1,TEENSY_4.0,
"C1, C2",0603,2,10u,
"C10, C14, C4, C7",CP_Radial_D8.0mm_P3.50mm,4,470u,C5162352
"C3, C6",0603,2,10n,
"C5, C8",CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder,2,220u,
"D1, D2",0603,2,SS54,
J1,AMASS_XT60-M,1,XT60-M,
J2,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Conn_02x04_Odd_Even,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J5,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,Conn_01x02,
"L1, L2",0630 One Piece Inductor,2,15uH,
"Q1, Q2, Q3, Q4",8-DFN (5x6),4,AON6354,
"R1, R12, R13, R2, R20, R21, R29, R30",res0603,8,3K3,
"R10, R28",0603,2,10K,
R11,0603,1,5k9,
"R14, R22, R3, R31",res0603,4,10K,
"R15, R16, R17, R18, R19, R23, R24, R25, R26, R27, R32, R33, R34, R35, R36, R38, R4, R5, R6, R7, R8",res0603,21,1K,
R37,0603,1,3K24,
SW2,XT30UPB-M,1,SW_SPST,
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW_SPST,
TP1,14 AWG Testpoint (Compact),1,TestPoint_2Pole,
"TP2, TP3",14 AWG Testpoint (Vertical),2,TestPoint_2Pole,
"U1, U12, U5, U9",fixed -onenew-newer-newest,4,VNH5019ATR-E,
"U2, U3",TI_SO-PowerPAD-8,2,TPS5430DDAG4,
"U4, U6, U7, U8",XT30UPB-M,4,XT30UPB-M,
