Designator,Mid X,Mid Y,Rotation,Layer
A1,55.0,0.0,180.0,top
C1,-11.650002,64.992499,270.0,bottom
C10,-6.775,33.62,0.0,bottom
C14,-13.46,-9.425,0.0,bottom
C2,14.469997,78.9225,90.0,bottom
C3,-21.030002,63.125,0.0,bottom
C4,28.67,35.85,0.0,bottom
C5,-26.810002,61.245,90.0,bottom
C6,16.972497,79.53,0.0,bottom
C7,20.714362,-9.757468,0.0,bottom
C8,25.616077,77.90608,90.0,bottom
D1,-12.425002,61.635,180.0,bottom
D2,16.804997,77.99,180.0,bottom
J1,0.0,78.0,0.0,top
J2,40.0,14.25,90.0,top
J3,71.925,9.1875,0.0,bottom
J5,-23.0,81.0,180.0,bottom
L1,-23.540002,64.145,90.0,bottom
L2,16.97,81.07,180.0,bottom
Q1,36.39,38.95,180.0,bottom
Q2,28.549362,-5.227468,180.0,bottom
Q3,0.885,39.25,180.0,bottom
Q4,-7.065,-2.52,180.0,bottom
R1,38.590001,54.909998,180.0,bottom
R10,-22.520001,66.715,180.0,bottom
R11,-22.44,69.055,0.0,bottom
R12,29.544361,9.612531,180.0,bottom
R13,29.694361,1.662531,180.0,bottom
R14,29.604361,5.732531,180.0,bottom
R15,25.794361,7.502532,0.0,bottom
R16,25.719999,3.62,0.0,bottom
R17,25.784363,9.512531,0.0,bottom
R18,25.784361,1.712532,0.0,bottom
R19,25.760001,5.57,0.0,bottom
R2,38.555001,46.679997,180.0,bottom
R20,-0.404999,53.02,180.0,bottom
R21,-0.405,45.19,180.0,bottom
R22,-0.395,48.99,180.0,bottom
R23,-4.314999,51.12,180.0,bottom
R24,-4.255,47.16,0.0,bottom
R25,-4.234998,53.08,0.0,bottom
R26,-4.295,45.2,0.0,bottom
R27,-4.264998,49.11,0.0,bottom
R28,21.539996,69.620001,270.0,bottom
R29,-6.2,11.385,180.0,bottom
R3,38.380001,50.839998,180.0,bottom
R30,-6.15,3.165,180.0,bottom
R31,-6.08,7.285,180.0,bottom
R32,-9.86,9.285,0.0,bottom
R33,-10.0,5.235,0.0,bottom
R34,-9.93,11.355,0.0,bottom
R35,-9.99,3.175,0.0,bottom
R36,-9.99,7.225,0.0,bottom
R37,11.850001,67.430001,270.0,bottom
R38,-44.77,10.269999,270.0,top
R4,34.739999,52.819998,0.0,bottom
R5,34.620003,48.739998,0.0,bottom
R6,34.679999,54.829998,0.0,bottom
R7,34.649998,46.669997,0.0,bottom
R8,34.610003,50.789998,0.0,bottom
R9,-47.35,-0.8,0.0,top
SW2,1.04,70.19,0.0,bottom
SW3,-48.81,4.44,270.0,top
TP1,-27.51,72.8,0.0,top
TP2,-44.82,-9.42,0.0,top
TP3,31.19,70.42,0.0,top
U1,22.660001,49.049997,0.0,bottom
U12,-22.1,4.59,0.0,bottom
U2,-16.6,66.895,180.0,bottom
U3,13.839997,73.279998,90.0,bottom
U4,-0.025639,3.542532,270.0,bottom
U5,13.87,3.915,0.0,bottom
U6,8.12,55.0,270.0,bottom
U7,-30.795,46.59,270.0,bottom
U8,-35.93,4.185,270.0,bottom
U9,-16.329358,46.88,0.0,bottom
